# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Oct 21 16:01:16 CEST 2019 [seed=1571666328474]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
10000	-33933.31842777946	-4.461487825262822	-33928.856939954196	0.45490225141156576	3.7852043709881924	0.06086056389177946	0.4090486006875236	0.09921702002844661	0.1355542676684868	0.127025195490279	0.2047618924342094	0.22526023071114407	0.3605361787059569	0.4175640499247255	0.33552577684917356	4.0487519513826316	1.0114149444089389	1.0708774747618892	0.9894647567552421	0.9209146252727726	1.0379761974985033	0.9693520013026535	0.3489879061074066	0.20047392572266265	0.17662003927056522	0.27391812889936556	0.5396015218948781	1.0	1.0	-33928.856939954196	0.0	2.853959171753378
11000	-33914.34398573322	-5.003543805196663	-33909.34044192802	0.4784571176546326	4.037299875140823	0.06900952096114361	0.447171230978199	0.10869585736130166	0.1585327836554563	0.13160729723374767	0.22474575918151773	0.2418433098038022	0.3882800744414944	0.4440182715763881	0.33963821809324324	3.598850946191222	1.007466868742648	1.0694703489794177	0.964735096043079	0.9254360071898897	1.063458038980611	0.9694336400643537	0.3656558568467484	0.1975042463406606	0.1727455509050363	0.2640943459075547	0.5106089145001581	1.0	1.0	-33909.34044192802	0.0	2.1183494919816344
12000	-33910.21020771488	-4.6048987350487405	-33905.60530897983	0.47073742523627843	3.964824873465835	0.0682715487430225	0.4361344148998615	0.10356677160260921	0.15902168468414227	0.1220181029624873	0.21695797641062614	0.23724589897510825	0.37716664586331317	0.4499803857000278	0.33218638747964596	3.342061863041022	1.0172429937162102	1.058446449236582	0.9477335191673243	0.9307052438325635	1.0787222019332463	0.967149592114073	0.3687710403606007	0.1975042463406606	0.16963036739118395	0.2640943459075547	0.5106089145001581	1.0	1.0	-33905.60530897983	0.0	2.4349532269733
13000	-33897.88345077903	-7.070918070560286	-33890.81253270847	0.46917548195692216	3.9348568829855606	0.06589514305254908	0.4235612627871186	0.11330592715123589	0.15746447541620706	0.13469570479341658	0.20487990592619737	0.22546036248283666	0.3754123030988046	0.4430116719848526	0.3394891132696966	5.434430443757514	1.0059599797372067	1.0737292615698804	0.9595519268422762	0.928554215743988	1.0806162100760788	0.9515884060305689	0.37306452314120525	0.1974734435271556	0.16972556242520312	0.259736470906436	0.5455300767846981	1.0	1.0	-33890.81253270847	0.0	0.6221053352998629
14000	-33894.409102754864	-5.227949176203865	-33889.18115357866	0.49629930274890277	3.9990538195410377	0.0657229755372089	0.433078151027089	0.10188351184204433	0.14318593994034043	0.13495070617067007	0.1971107466026413	0.22115295788963243	0.37385054130441064	0.46218097501418526	0.34585229614743707	3.950810622004395	0.9934420434158207	1.0744641774049437	0.9640162204495859	0.9222428253408378	1.0894575755739213	0.9563771578148896	0.36607113160725335	0.19393402451089192	0.17102333560957003	0.2689715082722846	0.5409308794355129	1.0	1.0	-33889.18115357866	0.0	2.0614658138336037
15000	-33890.174857235535	-4.786348165677514	-33885.38850906986	0.486498127373346	4.010291682066243	0.07251596765773376	0.4236224418428171	0.11852305648535755	0.15629239889145172	0.13687567809733683	0.2047163396684852	0.21326313819651532	0.3875774163034286	0.47679328866220616	0.3440229154128541	3.336217295597099	0.9971450574968305	1.0942974169239132	0.957818067344469	0.9174530861455686	1.084542704782638	0.94874366730658	0.36607113160725335	0.19739458822077827	0.16829284642077907	0.26824143375118925	0.5266544794691759	1.0	1.0	-33885.38850906986	0.0	2.283684576187457
16000	-33881.94911662154	-5.310350081768727	-33876.63876653977	0.49629257292298207	4.010395572769473	0.07133308864037027	0.4457483324182445	0.10874084246285881	0.15278716110842866	0.1298946030990087	0.21208184009901657	0.2251737727097219	0.3711814855206015	0.4534935077984041	0.34160700990457965	3.9680811456128993	0.9918136126936792	1.093061290030085	0.957818067344469	0.9174530861455686	1.0911102764796177	0.94874366730658	0.37080323208819593	0.19506963605592093	0.16829284642077907	0.265834285435104	0.5509025642609674	1.0	1.0	-33876.63876653977	0.0	2.0040992510621316
17000	-33870.70897001696	-4.572507951772494	-33866.13646206519	0.4729730439943334	3.9544667232643396	0.06223852665259885	0.42836585510058184	0.11065868674758976	0.14688241193767165	0.1387094847500396	0.20420600905846786	0.23433877656344462	0.3703792144461406	0.4423881073669552	0.3467749002452961	2.9632729257120465	0.9863330975451653	1.1063507329558988	0.9572831993192444	0.9208503771080254	1.1030095322420879	0.9261730608295774	0.37197041338203	0.198944774458427	0.16698129283213084	0.26210351932741205	0.5428296960748543	1.0	1.0	-33866.13646206519	0.0	2.4036627064578613
18000	-33865.60370423485	-7.224026650313073	-33858.37967758453	0.5158949808148993	4.195964561552778	0.07069979374795622	0.496167625426182	0.1132656177172224	0.15163379836277419	0.1389174688814805	0.2073483292017835	0.22987250939708287	0.38638639920080614	0.4548314767122136	0.37381482073980865	4.765579839121491	0.9829248284329201	1.1101585704835275	0.9516469038676733	0.9185327715091949	1.1097691200186146	0.926967805688069	0.36941389188808843	0.198944774458427	0.16775228906956796	0.2638890445839165	0.5461242521185933	1.0	1.0	-33858.37967758453	0.0	0.302245698478913
19000	-33862.23126623312	-5.1263154252912315	-33857.10495080783	0.5165008925573589	4.150566865939385	0.067722385819629	0.45490559837403965	0.11077750723447144	0.15731501649424431	0.14100726230527497	0.20755358655841252	0.23087144041627	0.37665435327275565	0.47284530609769987	0.37518515215676546	2.8002715130274924	0.9950999468525741	1.100618775994987	0.9406066668636387	0.9108820108807683	1.1258247937199621	0.926967805688069	0.37165044945709785	0.19824083211626536	0.16697173630097492	0.2631369821256618	0.5287197722299359	1.0	1.0	-33857.10495080783	0.0	1.7635988008328813
20000	-33847.77755625226	-5.875249391125889	-33841.902306861135	0.507473691400176	4.104749920211563	0.07019322057208327	0.477154961094233	0.10071694395109944	0.15935317307329605	0.1358523928163953	0.2061679644749327	0.23384105657375437	0.38203563767314297	0.45329044417882286	0.34965389933006863	4.16428751644753	0.9928244411476926	1.1183910362785563	0.9312601178710569	0.9094940761135013	1.1360141792129737	0.9120161493762184	0.36678046396711317	0.1941950697815136	0.16871747143973165	0.2703069948116415	0.5287197722299359	1.0	1.0	-33841.902306861135	0.0	1.451728703717924
21000	-33840.44708375957	-4.913507234257812	-33835.53357652532	0.4933669332537342	4.038813600979925	0.06903871454466269	0.4461369649047433	0.10899156781640124	0.15334099359776285	0.13687506580146566	0.2152977976840831	0.2299949456947763	0.373937871788289	0.4606829756166117	0.3518775013031208	3.382054297902332	0.9842402799935748	1.1271247300932612	0.922526424056352	0.9185255048753812	1.1355669116052116	0.9120161493762184	0.37096398526341506	0.1952244943647132	0.1638011080974209	0.2700104122744507	0.5313250843811717	1.0	1.0	-33835.53357652532	0.0	2.1807960714832033
22000	-33840.35089504124	-5.268607816920598	-33835.08228722432	0.513680067969714	4.15346227659063	0.06235962400753649	0.47424049763743387	0.11068697324253424	0.1596457674436032	0.133020328058385	0.21210860882282184	0.22938113812340905	0.3953311315812422	0.45829971635895356	0.35288640458782633	3.362956407480565	0.988507334071618	1.1298818831753465	0.9085469163986095	0.9185255048753812	1.1442222023999673	0.9103161590790769	0.375199763961359	0.18602297132874732	0.1638011080974209	0.2749761566124727	0.520956904199994	1.0	1.0	-33835.08228722432	0.0	1.7987535373970784
23000	-33838.56689952775	-5.557844636733372	-33833.009054891016	0.530453386251548	4.2739719501945785	0.07683012476263727	0.4668365424938282	0.11884302187252321	0.16381251609663178	0.13734119465487796	0.20580113930794255	0.23378545794050593	0.41522298020954507	0.48939114916737086	0.3502729909178343	3.27544118560161	0.9890047395579656	1.1358740111996959	0.893775696319061	0.9296637536693255	1.1434068894281442	0.9082749098258074	0.36657651440845657	0.19635992825979728	0.16502940994840998	0.2720341473833361	0.49292212043835026	1.0	1.0	-33833.009054891016	0.0	1.4247396995017638
